Time,Open,High,Low,Last,Change,%Chg,Volume
"01/12/2021 22:55",33163.01,33300.59,33160.97,33165.39,2.38,+0.01%,206
"01/12/2021 22:50",33172.12,33279.76,33109.14,33163.01,-9.11,-0.03%,201
"01/12/2021 22:45",33214.49,33339.9,33125.94,33172.12,-42.22,-0.13%,173
"01/12/2021 22:40",33357.16,33359.11,33199.51,33214.34,-142.82,-0.43%,192
"01/12/2021 22:35",33375.54,33396.19,33306.29,33357.16,-18.38,-0.06%,171
"01/12/2021 22:30",33702.28,33724.18,33372.25,33375.54,-326.74,-0.97%,185
"01/12/2021 22:25",33527.75,33702.28,33511.47,33702.28,174.53,+0.52%,192
"01/12/2021 22:20",33443.1,33596.22,33441.41,33527.75,84.65,+0.25%,199
"01/12/2021 22:15",33634.73,33645.9,33439.33,33443.1,-187.88,-0.56%,189
"01/12/2021 22:10",33520.74,33630.98,33520.74,33630.98,93.37,+0.28%,204
"01/12/2021 22:05",33761.12,33761.12,33502.64,33537.61,-224.35,-0.66%,187
"01/12/2021 22:00",33758.21,33866.27,33758.21,33761.96,3.75,+0.01%,196
"01/12/2021 21:55",33689.88,33773.38,33682.43,33758.21,67.58,+0.20%,184
"01/12/2021 21:50",33746.52,33797.16,33661.32,33690.63,-55.71,-0.17%,199
"01/12/2021 21:45",33848.88,33933.59,33731.83,33746.34,-98.68,-0.29%,186
"01/12/2021 21:40",33862.23,33922.21,33834.16,33845.02,-17.21,-0.05%,185
"01/12/2021 21:35",33981.02,34053.61,33830.7,33862.23,-119.11,-0.35%,186
"01/12/2021 21:30",33937.09,34027.13,33840.65,33981.34,44.63,+0.13%,201
"01/12/2021 21:25",33947.31,34056.99,33919.07,33936.71,-10.6,-0.03%,182
"01/12/2021 21:20",33979.4,34118.11,33852.04,33947.31,-29.57,-0.09%,177
"01/12/2021 21:15",34040.7,34266.66,33956.69,33976.88,-62.52,-0.18%,189
"01/12/2021 21:10",33886.45,34132.53,33874.5,34039.4,153.12,+0.45%,183
"01/12/2021 21:05",33361.75,33890.49,33354.92,33886.28,524.53,+1.57%,181
"01/12/2021 21:00",33019.33,33361.75,32993.31,33361.75,341.18,+1.03%,175
"01/12/2021 20:55",33093.71,33106.46,33020.57,33020.57,-73.03,-0.22%,192
"01/12/2021 20:50",32851.69,33093.6,32850.84,33093.6,241.61,+0.74%,187
"01/12/2021 20:45",32799.29,32928.78,32666.5,32851.99,62.9,+0.19%,202
"01/12/2021 20:40",32638.14,32791.4,32592.62,32789.09,151.58,+0.46%,196
"01/12/2021 20:35",32684.3,32835.91,32633.98,32637.51,-46.79,-0.14%,189
"01/12/2021 20:30",32788.71,32815.45,32620.92,32684.3,-112.4,-0.34%,186
"01/12/2021 20:25",32874.25,32924.12,32779.57,32796.7,-78.78,-0.24%,184
"01/12/2021 20:20",33337.34,33347.27,32875.48,32875.48,-462.9,-1.39%,148
"01/12/2021 20:15",33172.54,33344.84,33138.21,33338.38,165.88,+0.50%,169
"01/12/2021 20:10",33362.54,33362.54,33172.5,33172.5,-190.53,-0.57%,173
"01/12/2021 20:05",33469.82,33469.83,33341.13,33363.03,-92.86,-0.28%,165
"01/12/2021 20:00",33122.98,33479.86,33094.73,33455.89,332.91,+1.01%,165
"01/12/2021 19:55",33152.1,33175.43,33031.91,33122.98,-26.8,-0.08%,173
"01/12/2021 19:50",33057.6,33149.78,32947.52,33149.78,85.39,+0.26%,173
"01/12/2021 19:45",32708.12,33064.39,32708.12,33064.39,348.57,+1.07%,189
"01/12/2021 19:40",32967.83,32968.34,32715.82,32715.82,-256.57,-0.78%,203
"01/12/2021 19:35",32776.78,32980.16,32776.78,32972.39,203.78,+0.62%,189
"01/12/2021 19:30",32573.94,32806.11,32573.94,32768.61,194.67,+0.60%,173
"01/12/2021 19:25",32811.89,32821.67,32562.97,32573.94,-237.95,-0.73%,182
"01/12/2021 19:20",32869.76,33081.85,32804.67,32811.89,-54.41,-0.17%,189
"01/12/2021 19:15",33126.18,33144.6,32857.39,32866.3,-250.21,-0.76%,190
