,Date,Time,Open,High,Low,Close,ST_ALMA
76,03/22/2012,04:45:10.000,2721,2724.25,2718.75,2718.75,2722.85
77,03/22/2012,05:16:16.000,2718.5,2725.5,2716.25,2716.25,2720.92
78,03/22/2012,09:28:33.100,2716,2733.75,2715.5,2733.75,2721.52
79,03/22/2012,12:59:58.380,2734,2734.25,2716.5,2716.5,2723.06
80,03/22/2012,15:20:36.180,2716.25,2731.5,2716.25,2731.5,2724.65
81,03/22/2012,15:49:43.340,2731.75,2734,2727,2734,2726.96
82,03/22/2012,17:06:24.000,2734.25,2734.5,2730,2732.5,2729.46
83,03/22/2012,21:15:00.000,2733,2740.5,2731.75,2740.5,2733.65
84,03/23/2012,03:29:11.000,2740.75,2743,2738.5,2743,2736.85
85,03/23/2012,04:31:41.000,2743.25,2745.5,2743,2745.5,2740.69
86,03/23/2012,04:34:19.750,2745.75,2746.5,2728,2728,2740.9
87,03/23/2012,09:32:33.160,2727.75,2730,2725.5,2725.5,2736.19
88,03/23/2012,09:41:15.110,2725.25,2725.5,2723,2723,2729.48
89,03/23/2012,09:42:20.115,2722.75,2726.75,2720.5,2720.5,2724.67
90,03/23/2012,10:00:10.570,2720.25,2720.75,2718,2718,2722.02
91,03/23/2012,10:00:55.270,2717.75,2719.5,2715.5,2715.5,2719.65
92,03/23/2012,10:04:09.000,2715.25,2717.25,2713,2713,2716.98
93,03/23/2012,10:08:25.200,2712.75,2729.25,2710.75,2728.75,2717.35
94,03/23/2012,14:30:01.000,2728.75,2730.75,2723.75,2730.75,2721.17
95,03/25/2012,01:01:53.000,2730.75,2730.75,2730.75,2730.75,2726.54
96,03/25/2012,18:00:00.000,2729.75,2737.25,2729,2737.25,2730.85
97,03/25/2012,19:59:32.150,2737.5,2738,2733.75,2735.25,2733.4
98,03/25/2012,21:15:03.000,2735.25,2742.75,2731.25,2742.75,2735.81
99,03/26/2012,07:09:35.000,2743,2745.25,2740.25,2745,2739.17
100,03/26/2012,08:04:36.600,2745.5,2747.75,2745.5,2747.75,2742.67
101,03/26/2012,08:04:47.500,2748,2750.25,2742.5,2750.25,2745.92
102,03/26/2012,10:12:01.760,2750.5,2752.75,2750.25,2752.75,2748.65
103,03/26/2012,10:15:07.500,2753,2755.25,2749.25,2755.25,2750.83
104,03/26/2012,11:26:28.200,2755.5,2757.75,2752.5,2757.75,2753.54
105,03/26/2012,13:28:03.000,2758,2760.25,2756.75,2760.25,2755.96
106,03/26/2012,13:36:15.900,2760.5,2762.75,2758.75,2762.75,2758.63
107,03/26/2012,14:05:27.310,2763,2765.25,2762,2765.25,2761.29
108,03/26/2012,14:11:22.000,2765.5,2767.75,2764.75,2767.75,2763.83
109,03/26/2012,14:22:01.700,2768,2768.5,2766.5,2767.5,2765.98
110,03/26/2012,14:30:00.000,2767.25,2774.75,2763.75,2774.75,2768.06
111,03/26/2012,16:03:03.000,2775,2777.25,2775,2777.25,2771.29
112,03/26/2012,16:06:00.000,2777.5,2779.5,2775.5,2777.75,2774.6
113,03/26/2012,21:15:02.000,2777.75,2785.25,2774.5,2785.25,2778.13
114,03/27/2012,04:07:28.500,2785.5,2787.75,2780.25,2780.25,2780.56
115,03/27/2012,05:43:22.190,2780,2781,2772.75,2772.75,2780.25
116,03/27/2012,08:00:23.100,2772.5,2789,2772,2788.5,2780.19
117,03/27/2012,14:30:00.000,2788.5,2789.5,2781,2781,2780.71
118,03/27/2012,15:29:21.100,2780.75,2783,2778.5,2778.5,2781.9
119,03/27/2012,15:46:59.510,2778.25,2780.5,2776,2776,2780.96
120,03/27/2012,16:00:12.100,2775.75,2780,2773.75,2779.75,2778.4
121,03/27/2012,21:15:44.000,2779.75,2787.25,2775,2787,2779.08
122,03/28/2012,03:56:44.000,2787.5,2789.75,2775.25,2789.75,2781.71
123,03/28/2012,09:40:02.940,2790,2790.25,2772.25,2772.25,2783
124,03/28/2012,10:37:20.100,2772,2777.25,2769.75,2769.75,2779.65
125,03/28/2012,11:35:01.176,2769.5,2770,2767.25,2767.25,2773.96
126,03/28/2012,11:45:20.190,2767,2767.5,2764.75,2764.75,2768.9
127,03/28/2012,11:49:52.800,2764.5,2764.75,2762.25,2762.25,2765.98
128,03/28/2012,11:51:45.200,2762,2762.25,2759.75,2759.75,2763.46
