"Date","Price","Open","High","Low","Change %"
"Jan 07, 2011","0.8633","0.8667","0.8712","0.8600","-0.55%"
"Jan 06, 2011","0.8681","0.8722","0.8752","0.8660","-0.53%"
"Jan 05, 2011","0.8727","0.8709","0.8757","0.8685","0.06%"
"Jan 04, 2011","0.8722","0.8680","0.8744","0.8669","0.25%"
"Jan 03, 2011","0.8700","0.8648","0.8730","0.8637","0.30%"
"Dec 31, 2010","0.8674","0.8712","0.8745","0.8632","-0.53%"
"Dec 30, 2010","0.8720","0.8662","0.8748","0.8645","0.45%"
"Dec 29, 2010","0.8681","0.8663","0.8728","0.8640","0.09%"
"Dec 28, 2010","0.8673","0.8718","0.8742","0.8648","-0.65%"
"Dec 27, 2010","0.8730","0.8690","0.8769","0.8674","0.28%"
"Dec 24, 2010","0.8706","0.8705","0.8774","0.8661","-0.13%"
"Dec 23, 2010","0.8717","0.8711","0.8767","0.8691","-0.15%"
"Dec 22, 2010","0.8730","0.8734","0.8789","0.8706","-0.21%"
"Dec 21, 2010","0.8748","0.8712","0.8785","0.8701","0.31%"
"Dec 20, 2010","0.8721","0.8716","0.8777","0.8698","-0.22%"
"Dec 17, 2010","0.8740","0.8729","0.8778","0.8714","0.01%"
"Dec 16, 2010","0.8739","0.8711","0.8753","0.8681","0.25%"
"Dec 15, 2010","0.8717","0.8655","0.8739","0.8634","0.53%"
"Dec 14, 2010","0.8671","0.8659","0.8687","0.8622","0.24%"
"Dec 13, 2010","0.8650","0.8663","0.8710","0.8641","-0.40%"
"Dec 10, 2010","0.8685","0.8751","0.8777","0.8663","-0.79%"
"Dec 09, 2010","0.8754","0.8729","0.8780","0.8686","0.11%"
"Dec 08, 2010","0.8744","0.8697","0.8762","0.8672","0.37%"
"Dec 07, 2010","0.8712","0.8749","0.8781","0.8687","-0.55%"
"Dec 06, 2010","0.8760","0.8733","0.8789","0.8721","-0.06%"
"Dec 03, 2010","0.8765","0.8799","0.8822","0.8734","-0.44%"
"Dec 02, 2010","0.8804","0.8807","0.8833","0.8768","-0.07%"
"Dec 01, 2010","0.8810","0.8825","0.8860","0.8773","-0.31%"
"Nov 30, 2010","0.8837","0.8809","0.8850","0.8769","0.02%"
"Nov 29, 2010","0.8835","0.8792","0.8869","0.8761","0.42%"
"Nov 26, 2010","0.8798","0.8746","0.8823","0.8723","0.49%"
"Nov 25, 2010","0.8755","0.8761","0.8795","0.8724","-0.17%"
"Nov 24, 2010","0.8770","0.8741","0.8780","0.8695","0.18%"
"Nov 23, 2010","0.8754","0.8730","0.8765","0.8691","0.27%"
"Nov 22, 2010","0.8730","0.8716","0.8755","0.8691","0.01%"
"Nov 19, 2010","0.8729","0.8705","0.8748","0.8679","0.16%"
"Nov 18, 2010","0.8715","0.8703","0.8735","0.8669","0.13%"
"Nov 17, 2010","0.8704","0.8710","0.8747","0.8673","-0.30%"
"Nov 16, 2010","0.8730","0.8679","0.8739","0.8666","0.39%"
"Nov 15, 2010","0.8696","0.8684","0.8730","0.8652","0.24%"
"Nov 12, 2010","0.8675","0.8667","0.8729","0.8645","-0.14%"
"Nov 11, 2010","0.8687","0.8686","0.8727","0.8652","-0.24%"
"Nov 10, 2010","0.8708","0.8647","0.8727","0.8607","0.55%"
"Nov 09, 2010","0.8660","0.8670","0.8714","0.8627","-0.28%"
"Nov 08, 2010","0.8684","0.8689","0.8754","0.8655","-0.18%"
"Nov 05, 2010","0.8700","0.8775","0.8821","0.8675","-1.16%"
"Nov 04, 2010","0.8802","0.8797","0.8837","0.8748","0.14%"
"Nov 03, 2010","0.8790","0.8783","0.8831","0.8720","-0.10%"
"Nov 02, 2010","0.8799","0.8742","0.8819","0.8736","0.45%"
"Nov 01, 2010","0.8760","0.8796","0.8847","0.8726","-0.08%"
"Oct 29, 2010","0.8767","0.8742","0.8800","0.8712","0.26%"
"Oct 28, 2010","0.8744","0.8705","0.8789","0.8672","0.31%"
"Oct 27, 2010","0.8717","0.8712","0.8762","0.8677","-0.03%"
"Oct 26, 2010","0.8720","0.8794","0.8844","0.8691","-0.91%"
"Oct 25, 2010","0.8800","0.8770","0.8822","0.8745","0.51%"
"Oct 22, 2010","0.8755","0.8752","0.8817","0.8726","-0.10%"
"Oct 21, 2010","0.8764","0.8752","0.8801","0.8730","0.09%"
"Oct 20, 2010","0.8756","0.8722","0.8788","0.8706","0.18%"
"Oct 19, 2010","0.8740","0.8771","0.8808","0.8699","-0.39%"
"Oct 18, 2010","0.8774","0.8730","0.8802","0.8701","0.39%"
"Oct 15, 2010","0.8740","0.8741","0.8792","0.8714","-0.16%"
"Oct 14, 2010","0.8754","0.8709","0.8781","0.8701","0.42%"
"Oct 13, 2010","0.8717","0.8779","0.8805","0.8699","-0.84%"
"Oct 12, 2010","0.8791","0.8747","0.8821","0.8738","0.37%"
"Oct 11, 2010","0.8759","0.8730","0.8787","0.8703","0.15%"
"Oct 08, 2010","0.8746","0.8743","0.8769","0.8651","-0.01%"
"Oct 07, 2010","0.8747","0.8578","0.8762","0.8559","1.96%"
"Oct 06, 2010","0.8579","0.8666","0.8707","0.8557","-1.17%"
"Oct 05, 2010","0.8681","0.8672","0.8727","0.8627","-0.03%"
"Oct 04, 2010","0.8684","0.8685","0.8721","0.8645","0.02%"
"Oct 01, 2010","0.8682","0.8707","0.8760","0.8654","-0.33%"
"Sep 30, 2010","0.8711","0.8705","0.8754","0.8666","0.00%"
"Sep 29, 2010","0.8711","0.8647","0.8729","0.8626","0.65%"
"Sep 28, 2010","0.8655","0.8605","0.8678","0.8578","0.45%"
"Sep 27, 2010","0.8616","0.8624","0.8659","0.8595","-0.31%"
"Sep 24, 2010","0.8643","0.8615","0.8673","0.8566","0.23%"
"Sep 23, 2010","0.8623","0.8573","0.8641","0.8561","0.48%"
"Sep 22, 2010","0.8582","0.8665","0.8702","0.8562","-1.00%"
"Sep 21, 2010","0.8669","0.8620","0.8712","0.8611","0.48%"
"Sep 20, 2010","0.8628","0.8610","0.8681","0.8555","-0.24%"
"Sep 17, 2010","0.8649","0.8638","0.8689","0.8593","-0.01%"
"Sep 16, 2010","0.8650","0.8589","0.8663","0.8569","0.65%"
"Sep 15, 2010","0.8594","0.8542","0.8619","0.8517","0.54%"
"Sep 14, 2010","0.8548","0.8542","0.8570","0.8508","-0.01%"
"Sep 13, 2010","0.8549","0.8559","0.8585","0.8518","0.08%"
"Sep 10, 2010","0.8542","0.8491","0.8571","0.8477","0.54%"
"Sep 09, 2010","0.8496","0.8509","0.8539","0.8479","-0.19%"
"Sep 08, 2010","0.8512","0.8477","0.8538","0.8450","0.41%"
"Sep 07, 2010","0.8477","0.8463","0.8511","0.8437","0.11%"
"Sep 06, 2010","0.8468","0.8441","0.8485","0.8425","0.24%"
"Sep 03, 2010","0.8448","0.8473","0.8492","0.8413","-0.40%"
"Sep 02, 2010","0.8482","0.8483","0.8507","0.8441","-0.12%"
"Sep 01, 2010","0.8492","0.8508","0.8573","0.8462","-0.34%"
"Aug 31, 2010","0.8521","0.8495","0.8573","0.8468","0.06%"
"Aug 30, 2010","0.8516","0.8494","0.8539","0.8433","0.18%"
"Aug 27, 2010","0.8501","0.8480","0.8540","0.8457","0.06%"
"Aug 26, 2010","0.8496","0.8464","0.8521","0.8433","0.24%"
"Aug 25, 2010","0.8476","0.8426","0.8517","0.8404","0.59%"
"Aug 24, 2010","0.8426","0.8410","0.8478","0.8388","0.01%"
"Aug 23, 2010","0.8425","0.8387","0.8452","0.8367","0.37%"
"Aug 20, 2010","0.8394","0.8370","0.8435","0.8346","0.11%"
"Aug 19, 2010","0.8385","0.8381","0.8408","0.8329","-0.07%"
"Aug 18, 2010","0.8391","0.8363","0.8421","0.8347","0.25%"
"Aug 17, 2010","0.8370","0.8352","0.8416","0.8329","0.16%"
"Aug 16, 2010","0.8357","0.8304","0.8391","0.8289","0.19%"
"Aug 13, 2010","0.8341","0.8363","0.8394","0.8310","-0.14%"
"Aug 12, 2010","0.8353","0.8373","0.8430","0.8331","-0.57%"
"Aug 11, 2010","0.8401","0.8417","0.8439","0.8363","-0.18%"
"Aug 10, 2010","0.8416","0.8410","0.8448","0.8372","-0.04%"
"Aug 09, 2010","0.8419","0.8388","0.8434","0.8367","0.15%"
"Aug 06, 2010","0.8406","0.8389","0.8448","0.8364","0.00%"
"Aug 05, 2010","0.8406","0.8384","0.8430","0.8362","0.14%"
"Aug 04, 2010","0.8394","0.8406","0.8437","0.8366","-0.20%"
"Aug 03, 2010","0.8411","0.8398","0.8440","0.8383","0.07%"
"Aug 02, 2010","0.8405","0.8411","0.8439","0.8371","-0.19%"
"Jul 30, 2010","0.8421","0.8419","0.8458","0.8372","-0.01%"
"Jul 29, 2010","0.8422","0.8395","0.8458","0.8378","-0.13%"
"Jul 28, 2010","0.8433","0.8430","0.8470","0.8397","-0.27%"
"Jul 27, 2010","0.8456","0.8430","0.8475","0.8408","0.17%"
"Jul 26, 2010","0.8442","0.8421","0.8488","0.8389","-0.06%"
"Jul 23, 2010","0.8447","0.8431","0.8498","0.8402","0.06%"
"Jul 22, 2010","0.8442","0.8467","0.8504","0.8419","-0.52%"
"Jul 21, 2010","0.8486","0.8508","0.8522","0.8411","-0.38%"
"Jul 20, 2010","0.8518","0.8541","0.8588","0.8490","-0.42%"
"Jul 19, 2010","0.8554","0.8504","0.8605","0.8466","0.16%"
"Jul 16, 2010","0.8540","0.8464","0.8578","0.8442","0.73%"
"Jul 15, 2010","0.8478","0.8438","0.8492","0.8399","0.26%"
"Jul 14, 2010","0.8456","0.8435","0.8467","0.8393","0.24%"
"Jul 13, 2010","0.8436","0.8473","0.8506","0.8400","-0.41%"
"Jul 12, 2010","0.8471","0.8485","0.8508","0.8432","-0.31%"
"Jul 09, 2010","0.8497","0.8464","0.8514","0.8440","0.33%"
"Jul 08, 2010","0.8469","0.8426","0.8498","0.8400","0.39%"
"Jul 07, 2010","0.8436","0.8383","0.8458","0.8364","0.37%"
"Jul 06, 2010","0.8405","0.8370","0.8433","0.8340","0.29%"
"Jul 05, 2010","0.8381","0.8440","0.8467","0.8346","-0.86%"
"Jul 02, 2010","0.8454","0.8364","0.8465","0.8330","1.10%"
"Jul 01, 2010","0.8362","0.8348","0.8427","0.8323","0.11%"
"Jun 30, 2010","0.8353","0.8336","0.8387","0.8301","0.13%"
"Jun 29, 2010","0.8342","0.8283","0.8351","0.8272","0.43%"
"Jun 28, 2010","0.8306","0.8319","0.8375","0.8255","-0.50%"
"Jun 25, 2010","0.8348","0.8324","0.8394","0.8312","0.20%"
"Jun 24, 2010","0.8331","0.8342","0.8387","0.8300","-0.35%"
"Jun 23, 2010","0.8360","0.8283","0.8380","0.8275","0.70%"
"Jun 22, 2010","0.8302","0.8291","0.8351","0.8259","0.16%"
"Jun 21, 2010","0.8289","0.8224","0.8313","0.8210","0.64%"
"Jun 18, 2010","0.8236","0.8239","0.8288","0.8196","-0.07%"
"Jun 17, 2010","0.8242","0.8199","0.8260","0.8177","0.28%"
"Jun 16, 2010","0.8219","0.8189","0.8238","0.8174","0.13%"
"Jun 15, 2010","0.8208","0.8163","0.8238","0.8133","0.56%"
"Jun 14, 2010","0.8162","0.8169","0.8216","0.8127","0.04%"
"Jun 11, 2010","0.8159","0.8200","0.8244","0.8134","-0.55%"
"Jun 10, 2010","0.8204","0.8234","0.8267","0.8180","-0.55%"
"Jun 09, 2010","0.8249","0.8259","0.8286","0.8214","-0.22%"
"Jun 08, 2010","0.8267","0.8249","0.8307","0.8199","0.07%"
"Jun 07, 2010","0.8261","0.8216","0.8309","0.8197","0.32%"
"Jun 04, 2010","0.8235","0.8222","0.8273","0.8183","0.09%"
"Jun 03, 2010","0.8228","0.8209","0.8315","0.8199","-0.56%"
"Jun 02, 2010","0.8274","0.8302","0.8311","0.8251","-0.11%"
"Jun 01, 2010","0.8283","0.8253","0.8293","0.8227","0.24%"
"May 31, 2010","0.8263","0.8224","0.8297","0.8214","-0.21%"
"May 28, 2010","0.8280","0.8168","0.8281","0.8147","1.22%"
"May 27, 2010","0.8180","0.8202","0.8289","0.8151","-0.37%"
"May 26, 2010","0.8210","0.8275","0.8316","0.8176","-0.58%"
"May 25, 2010","0.8258","0.8255","0.8304","0.8214","-0.21%"
"May 24, 2010","0.8275","0.8261","0.8309","0.8216","0.06%"
"May 21, 2010","0.8270","0.8224","0.8333","0.8154","0.63%"
"May 20, 2010","0.8218","0.8189","0.8296","0.8151","0.13%"
"May 19, 2010","0.8207","0.8080","0.8237","0.8052","1.47%"
"May 18, 2010","0.8088","0.8044","0.8138","0.8033","0.38%"
"May 17, 2010","0.8057","0.8051","0.8082","0.7985","-0.06%"
"May 14, 2010","0.8062","0.8105","0.8145","0.8022","-0.57%"
"May 13, 2010","0.8108","0.8124","0.8168","0.8075","-0.48%"
"May 12, 2010","0.8147","0.8116","0.8174","0.8087","0.17%"
"May 11, 2010","0.8133","0.8137","0.8196","0.8083","-0.39%"
"May 10, 2010","0.8165","0.8129","0.8195","0.8104","0.25%"
"May 07, 2010","0.8145","0.8040","0.8184","0.7986","1.21%"
"May 06, 2010","0.8048","0.8013","0.8118","0.7940","0.29%"
"May 05, 2010","0.8025","0.8137","0.8175","0.7994","-1.45%"
