"Date","Price","Open","High","Low","Change %"
"Dec 04, 2020","1.1083","1.1071","1.1134","1.1027","0.12%"
"Dec 03, 2020","1.1070","1.1030","1.1114","1.1021","0.38%"
"Dec 02, 2020","1.1028","1.1115","1.1131","1.1006","-0.76%"
"Dec 01, 2020","1.1113","1.1170","1.1201","1.1099","-0.46%"
"Nov 30, 2020","1.1164","1.1133","1.1180","1.1107","0.33%"
"Nov 27, 2020","1.1127","1.1214","1.1220","1.1109","-0.72%"
"Nov 26, 2020","1.1208","1.1232","1.1236","1.1191","-0.20%"
"Nov 25, 2020","1.1230","1.1236","1.1250","1.1185","-0.04%"
"Nov 24, 2020","1.1234","1.1253","1.1270","1.1218","-0.15%"
"Nov 23, 2020","1.1251","1.1198","1.1280","1.1194","0.44%"
"Nov 20, 2020","1.1202","1.1169","1.1214","1.1154","0.33%"
"Nov 19, 2020","1.1165","1.1197","1.1207","1.1155","-0.25%"
"Nov 18, 2020","1.1193","1.1165","1.1219","1.1161","0.30%"
"Nov 17, 2020","1.1160","1.1134","1.1178","1.1123","0.30%"
"Nov 16, 2020","1.1127","1.1148","1.1171","1.1114","-0.13%"
"Nov 13, 2020","1.1141","1.1111","1.1157","1.1105","0.32%"
"Nov 12, 2020","1.1106","1.1226","1.1233","1.1104","-1.05%"
"Nov 11, 2020","1.1224","1.1231","1.1289","1.1211","-0.04%"
"Nov 10, 2020","1.1228","1.1143","1.1258","1.1130","0.79%"
"Nov 09, 2020","1.1140","1.1082","1.1147","1.1050","0.56%"
"Nov 06, 2020","1.1078","1.1114","1.1127","1.1040","-0.31%"
"Nov 05, 2020","1.1112","1.1078","1.1122","1.1025","0.35%"
"Nov 04, 2020","1.1073","1.1149","1.1184","1.1068","-0.64%"
"Nov 03, 2020","1.1144","1.1098","1.1152","1.1078","0.46%"
"Nov 02, 2020","1.1093","1.1108","1.1119","1.1049","-0.13%"
"Oct 30, 2020","1.1107","1.1074","1.1133","1.1044","0.33%"
"Oct 29, 2020","1.1071","1.1058","1.1104","1.1036","0.17%"
"Oct 28, 2020","1.1052","1.1059","1.1095","1.1016","-0.04%"
"Oct 27, 2020","1.1056","1.1028","1.1066","1.1006","0.27%"
"Oct 26, 2020","1.1026","1.1001","1.1062","1.0980","0.31%"
"Oct 23, 2020","1.0992","1.1070","1.1087","1.0978","-0.67%"
"Oct 22, 2020","1.1066","1.1088","1.1096","1.1053","-0.16%"
"Oct 21, 2020","1.1084","1.0949","1.1099","1.0941","1.26%"
"Oct 20, 2020","1.0946","1.1002","1.1014","1.0929","-0.51%"
"Oct 19, 2020","1.1002","1.1025","1.1085","1.0990","-0.15%"
"Oct 16, 2020","1.1018","1.1032","1.1058","1.0976","-0.09%"
"Oct 15, 2020","1.1028","1.1076","1.1092","1.1014","-0.42%"
"Oct 14, 2020","1.1075","1.1013","1.1105","1.0963","0.59%"
"Oct 13, 2020","1.1010","1.1061","1.1088","1.1006","-0.41%"
"Oct 12, 2020","1.1055","1.1040","1.1078","1.1013","0.23%"
"Oct 09, 2020","1.1030","1.1000","1.1034","1.0948","0.30%"
"Oct 08, 2020","1.0997","1.0984","1.1028","1.0961","0.15%"
"Oct 07, 2020","1.0981","1.0976","1.0998","1.0912","0.08%"
"Oct 06, 2020","1.0972","1.1016","1.1039","1.0956","-0.35%"
"Oct 05, 2020","1.1011","1.1039","1.1065","1.0997","-0.25%"
"Oct 02, 2020","1.1039","1.0974","1.1058","1.0957","0.65%"
"Oct 01, 2020","1.0968","1.1022","1.1036","1.0920","-0.47%"
"Sep 30, 2020","1.1020","1.0954","1.1033","1.0918","0.65%"
"Sep 29, 2020","1.0949","1.0998","1.1036","1.0933","-0.45%"
"Sep 28, 2020","1.0998","1.0959","1.1079","1.0953","0.39%"
